"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.09.2017","57,16","57,39","58,28","56,56","446,37K","-0,71%"
"27.09.2017","57,57","58,11","58,34","57,25","405,23K","-0,60%"
"26.09.2017","57,92","58,55","58,88","57,22","452,77K","-0,87%"
"25.09.2017","58,43","56,46","58,66","56,23","373,29K","3,56%"
"22.09.2017","56,42","56,16","56,47","55,89","289,05K","0,59%"
"21.09.2017","56,09","55,93","56,18","55,46","324,27K","0,29%"
"20.09.2017","55,93","55,09","56,11","55,02","319,99K","1,88%"
"19.09.2017","54,90","55,20","55,63","54,67","247,22K","-0,63%"
"18.09.2017","55,25","55,41","55,74","54,63","286,39K","-0,31%"
"15.09.2017","55,42","55,11","55,57","54,61","279,43K","0,36%"
"14.09.2017","55,22","54,81","55,66","54,63","340,29K","0,60%"
"13.09.2017","54,89","53,99","54,92","53,82","292,20K","1,59%"
"12.09.2017","54,03","53,77","54,20","53,28","256,35K","0,63%"
"11.09.2017","53,69","53,64","53,93","52,87","218,53K","0,21%"
"08.09.2017","53,58","54,38","54,64","53,34","280,01K","-1,38%"
"07.09.2017","54,33","54,08","54,48","53,75","259,80K","0,48%"
"06.09.2017","54,07","53,19","54,19","53,06","278,90K","1,33%"
"05.09.2017","53,36","52,26","53,62","52,13","210,93K","1,89%"
"04.09.2017","52,37","52,58","52,85","52,01","87,65K","-0,80%"
"01.09.2017","52,79","52,78","52,94","52,24","188,99K","-0,13%"
"31.08.2017","52,86","50,53","52,90","50,49","462,17K","4,20%"
"30.08.2017","50,73","51,65","51,69","50,52","437,32K","-1,80%"
"29.08.2017","51,66","51,54","51,79","50,98","299,42K","0,47%"
"28.08.2017","51,42","52,00","52,44","51,07","207,89K","-1,08%"
"25.08.2017","51,98","51,91","52,27","51,52","237,60K","0,62%"
"24.08.2017","51,66","52,21","52,39","51,26","252,43K","-1,11%"
"23.08.2017","52,24","51,40","52,29","51,22","237,02K","1,28%"
"22.08.2017","51,58","51,37","51,93","51,08","221,02K","0,59%"
"21.08.2017","51,28","52,63","52,67","50,96","172,77K","-2,16%"
"18.08.2017","52,41","50,61","52,64","50,54","186,53K","3,27%"
"17.08.2017","50,75","50,22","50,84","49,81","231,59K","1,30%"
"16.08.2017","50,10","50,79","51,22","49,99","204,43K","-1,05%"
"15.08.2017","50,63","50,61","50,98","49,98","212,32K","0,00%"
"14.08.2017","50,63","51,86","52,23","50,49","153,85K","-2,52%"
"11.08.2017","51,94","51,82","52,12","51,14","130,26K","0,31%"
"10.08.2017","51,78","52,71","53,47","51,53","285,83K","-1,65%"
"09.08.2017","52,65","52,04","52,78","51,87","162,65K","0,88%"
"08.08.2017","52,19","52,30","52,76","51,87","98,38K","-0,44%"
"07.08.2017","52,42","52,46","52,55","51,43","141,05K","-0,08%"
"04.08.2017","52,46","51,99","52,55","51,48","153,59K","0,85%"
"03.08.2017","52,02","52,31","52,87","51,78","273,92K","-0,80%"
"02.08.2017","52,44","51,57","52,49","51,36","249,25K","0,96%"
"01.08.2017","51,94","52,86","53,08","51,08","223,97K","-1,48%"
"31.07.2017","52,72","52,30","52,90","51,78","376,75K","0,96%"
"28.07.2017","52,22","51,58","52,35","51,33","410,85K","1,36%"
"27.07.2017","51,52","51,00","51,67","50,58","308,65K","0,82%"
"26.07.2017","51,10","50,74","51,20","50,23","295,74K","1,47%"
"25.07.2017","50,36","48,84","51,06","48,84","252,86K","3,15%"
"24.07.2017","48,82","48,24","49,00","47,94","229,07K","1,06%"
"21.07.2017","48,31","49,53","49,85","48,05","229,67K","-2,44%"
"20.07.2017","49,52","49,92","50,38","49,41","198,41K","-0,82%"
"19.07.2017","49,93","48,89","50,03","48,82","178,46K","1,73%"
"18.07.2017","49,08","48,68","49,64","48,49","150,83K","0,82%"
"17.07.2017","48,68","49,29","49,50","48,56","149,98K","-1,00%"
"14.07.2017","49,17","48,63","49,35","48,41","177,04K","1,01%"
"13.07.2017","48,68","47,88","48,79","47,47","143,03K","1,35%"
"12.07.2017","48,03","48,44","49,06","47,65","152,24K","0,46%"
"11.07.2017","47,81","47,22","48,50","46,60","133,02K","1,36%"
"10.07.2017","47,17","47,19","47,65","46,39","129,98K","0,40%"
"07.07.2017","46,98","48,05","48,05","46,55","101,63K","-2,91%"
"06.07.2017","48,39","48,62","49,43","48,04","120,25K","0,67%"
"05.07.2017","48,07","50,02","50,11","47,29","144,77K","-3,67%"
"04.07.2017","49,90","49,95","50,19","49,58","66,73K","-0,18%"
"03.07.2017","49,99","49,41","50,01","48,81","95,30K","2,50%"
"30.06.2017","48,77","47,60","49,00","47,60","308,19K","2,39%"
"29.06.2017","47,63","47,61","48,27","47,34","401,76K","0,19%"
"28.06.2017","47,54","46,54","47,70","46,54","338,40K","1,32%"
"27.06.2017","46,92","46,10","47,30","46,00","311,31K","1,91%"
"26.06.2017","46,04","45,82","46,42","45,26","211,49K","0,63%"
"23.06.2017","45,75","45,48","45,97","45,24","242,60K","0,75%"
"22.06.2017","45,41","45,06","45,98","44,78","314,72K","0,80%"
"21.06.2017","45,05","46,14","46,86","44,60","290,27K","-2,59%"
"20.06.2017","46,25","47,19","47,44","45,68","248,47K","-1,87%"
"19.06.2017","47,13","47,50","48,00","47,00","197,66K","-0,51%"
"16.06.2017","47,37","46,82","47,61","46,81","227,42K","0,96%"
"15.06.2017","46,92","46,80","47,20","46,70","301,40K","-0,17%"
"14.06.2017","47,00","48,18","48,69","46,74","464,42K","-3,53%"
"13.06.2017","48,72","48,32","48,82","47,87","321,28K","0,89%"
"12.06.2017","48,29","48,06","49,15","48,01","316,56K","0,29%"
"09.06.2017","48,15","47,79","48,56","47,40","285,82K","0,61%"
"08.06.2017","47,86","48,26","48,60","47,56","445,97K","-0,42%"
"07.06.2017","48,06","49,97","50,14","47,96","461,75K","-4,11%"
"06.06.2017","50,12","49,57","50,30","49,00","329,71K","1,31%"
"05.06.2017","49,47","49,87","50,74","49,04","348,41K","-0,96%"
"02.06.2017","49,95","50,23","50,52","48,95","451,46K","-1,34%"
"01.06.2017","50,63","51,17","51,45","50,23","462,92K","0,64%"
"31.05.2017","50,31","51,92","51,92","49,81","41,68K","-2,95%"
"30.05.2017","51,84","52,25","52,35","51,19","137,21K","-0,86%"
"29.05.2017","52,29","52,24","52,61","51,86","36,59K","0,27%"
"26.05.2017","52,15","51,38","52,30","50,71","265,83K","1,34%"
"25.05.2017","51,46","54,15","54,67","51,03","464,50K","-4,63%"
"24.05.2017","53,96","54,14","54,62","53,66","351,64K","-0,35%"
"23.05.2017","54,15","53,87","54,43","53,20","328,33K","0,52%"
"22.05.2017","53,87","53,85","54,37","53,66","379,12K","0,48%"
"19.05.2017","53,61","52,57","53,82","52,55","333,27K","2,09%"
"18.05.2017","52,51","52,19","52,74","51,11","363,69K","0,57%"
"17.05.2017","52,21","51,20","52,61","51,04","331,36K","1,08%"
"16.05.2017","51,65","51,88","52,36","51,10","340,96K","-0,33%"
"15.05.2017","51,82","50,89","52,63","50,74","331,42K","1,93%"
"12.05.2017","50,84","50,76","51,09","50,33","304,76K","0,14%"
"11.05.2017","50,77","50,28","51,16","50,25","315,59K","1,10%"
"10.05.2017","50,22","48,95","50,63","48,81","368,11K","3,06%"
"09.05.2017","48,73","49,44","49,72","48,39","332,91K","-1,24%"
"08.05.2017","49,34","49,27","49,92","48,48","400,72K","0,49%"
"05.05.2017","49,10","48,45","49,63","46,64","530,44K","1,49%"
"04.05.2017","48,38","50,59","50,73","48,16","541,58K","-4,75%"
"03.05.2017","50,79","50,99","51,14","50,20","357,19K","0,65%"
"02.05.2017","50,46","51,39","52,16","50,14","364,06K","-2,06%"
"01.05.2017","51,52","51,88","51,97","51,22","121,53K","-0,41%"
"28.04.2017","51,73","51,58","52,12","51,31","23,20K","0,56%"
"27.04.2017","51,44","51,57","51,76","50,45","187,13K","-0,73%"
"26.04.2017","51,82","51,81","52,46","51,38","206,56K","-0,54%"
"25.04.2017","52,10","51,60","52,39","51,30","272,76K","0,97%"
"24.04.2017","51,60","52,11","52,57","51,42","267,28K","-0,69%"
"21.04.2017","51,96","53,00","53,29","51,57","348,48K","-1,94%"
"20.04.2017","52,99","53,09","53,55","52,68","401,85K","0,11%"
"19.04.2017","52,93","54,78","55,20","52,58","435,41K","-3,57%"
"18.04.2017","54,89","55,39","55,48","54,61","373,10K","-0,85%"
"17.04.2017","55,36","55,55","55,98","55,29","158,97K","-0,95%"
"13.04.2017","55,89","55,66","56,06","55,56","325,31K","0,05%"
"12.04.2017","55,86","56,28","56,65","55,50","373,53K","-0,66%"
"11.04.2017","56,23","56,08","56,30","55,45","340,42K","0,45%"
"10.04.2017","55,98","55,19","56,05","55,19","298,90K","1,34%"
"07.04.2017","55,24","54,88","56,08","54,57","317,78K","0,64%"
"06.04.2017","54,89","54,13","55,00","54,02","239,47K","0,97%"
"05.04.2017","54,36","54,22","55,09","53,97","353,02K","0,35%"
"04.04.2017","54,17","53,18","54,38","52,73","302,11K","1,98%"
"03.04.2017","53,12","53,62","53,74","53,03","241,75K","0,55%"
"31.03.2017","52,83","52,83","53,45","52,35","27,46K","-0,25%"
"30.03.2017","52,96","52,39","53,10","52,03","128,55K","1,03%"
"29.03.2017","52,42","51,43","52,48","51,36","140,44K","2,12%"
"28.03.2017","51,33","50,77","51,87","50,77","186,41K","1,14%"
"27.03.2017","50,75","51,03","51,10","50,03","195,52K","-0,10%"
"24.03.2017","50,80","50,64","51,06","50,40","215,34K","0,47%"
"23.03.2017","50,56","50,83","51,10","50,25","320,21K","-0,16%"
"22.03.2017","50,64","50,86","50,98","49,71","327,91K","-0,63%"
"21.03.2017","50,96","51,70","52,22","50,73","291,71K","-1,28%"
"20.03.2017","51,62","51,80","51,94","51,01","239,25K","-0,27%"
"17.03.2017","51,76","51,74","52,18","51,53","220,35K","0,04%"
"16.03.2017","51,74","52,08","52,65","51,50","281,53K","-0,14%"
"15.03.2017","51,81","51,50","52,15","51,36","327,90K","1,75%"
"14.03.2017","50,92","51,34","51,86","50,25","411,63K","-0,84%"
"13.03.2017","51,35","51,49","51,70","50,85","276,76K","-0,04%"
"10.03.2017","51,37","52,33","53,02","51,14","351,34K","-1,57%"
"09.03.2017","52,19","53,49","53,86","51,50","504,12K","-1,73%"
"08.03.2017","53,11","55,63","55,77","52,93","444,13K","-5,03%"
"07.03.2017","55,92","55,95","56,65","55,56","269,52K","-0,16%"
"06.03.2017","56,01","55,80","56,25","55,32","224,20K","0,20%"
"03.03.2017","55,90","55,18","55,95","55,09","248,71K","1,49%"
"02.03.2017","55,08","56,31","56,44","55,03","350,12K","-2,27%"
"01.03.2017","56,36","56,45","57,05","56,24","261,74K","1,39%"
"28.02.2017","55,59","56,02","56,15","55,23","28,35K","-0,61%"
"27.02.2017","55,93","55,96","56,77","55,86","139,29K","-0,11%"
"24.02.2017","55,99","56,40","56,66","55,74","164,96K","-1,04%"
"23.02.2017","56,58","56,20","57,26","56,18","223,59K","1,33%"
"22.02.2017","55,84","56,74","57,01","55,64","245,16K","-1,45%"
"21.02.2017","56,66","56,17","57,31","56,10","335,44K","0,85%"
"20.02.2017","56,18","55,90","56,42","55,70","209,63K","0,66%"
"17.02.2017","55,81","55,73","55,88","55,10","270,49K","0,29%"
"16.02.2017","55,65","55,74","56,24","55,13","310,84K","-0,18%"
"15.02.2017","55,75","55,82","56,25","55,56","272,52K","-0,39%"
"14.02.2017","55,97","55,75","56,46","55,53","254,98K","0,68%"
"13.02.2017","55,59","56,68","56,81","55,41","234,31K","-1,96%"
"10.02.2017","56,70","55,66","56,88","55,59","284,71K","1,92%"
"09.02.2017","55,63","55,30","55,92","55,23","263,40K","0,93%"
"08.02.2017","55,12","54,50","55,68","54,44","409,83K","0,13%"
"07.02.2017","55,05","55,91","55,98","54,58","317,18K","-1,20%"
"06.02.2017","55,72","56,85","57,13","55,65","252,70K","-1,92%"
"03.02.2017","56,81","56,92","57,30","56,39","264,76K","0,44%"
"02.02.2017","56,56","56,53","57,45","56,33","297,35K","-0,42%"
"01.02.2017","56,80","55,55","56,83","55,36","301,24K","1,97%"
"31.01.2017","55,70","55,25","56,00","54,90","28,80K","0,85%"
"30.01.2017","55,23","55,47","55,70","54,97","104,90K","-0,52%"
"27.01.2017","55,52","56,09","56,50","54,86","142,07K","-1,28%"
"26.01.2017","56,24","55,39","56,55","55,21","265,72K","2,11%"
"25.01.2017","55,08","55,24","55,65","54,75","275,73K","-0,65%"
"24.01.2017","55,44","55,42","55,87","55,07","254,89K","0,38%"
"23.01.2017","55,23","55,70","55,75","54,65","305,85K","-0,47%"
"20.01.2017","55,49","54,33","55,80","54,18","293,54K","2,46%"
"19.01.2017","54,16","54,29","54,77","53,90","346,87K","0,45%"
"18.01.2017","53,92","55,48","55,90","53,77","360,15K","-2,79%"
"17.01.2017","55,47","55,74","56,95","55,40","335,73K","-0,70%"
"16.01.2017","55,86","55,64","55,92","55,19","112,58K","0,74%"
"13.01.2017","55,45","56,00","56,21","55,28","247,09K","-1,00%"
"12.01.2017","56,01","55,19","56,43","55,01","331,63K","1,65%"
"11.01.2017","55,10","53,80","55,67","53,70","419,90K","2,72%"
"10.01.2017","53,64","54,95","55,36","53,58","332,98K","-2,37%"
"09.01.2017","54,94","56,81","57,00","54,74","266,39K","-3,78%"
"06.01.2017","57,10","56,88","57,47","56,28","234,87K","0,37%"
"05.01.2017","56,89","56,35","57,35","56,01","269,61K","0,76%"
"04.01.2017","56,46","55,73","56,55","55,33","282,55K","1,78%"
"03.01.2017","55,47","57,05","58,37","55,30","340,82K","-2,38%"
"02.01.2017","56,82","56,82","56,82","56,82","","0,00%"
"30.12.2016","56,82","57,00","57,20","56,46","129,10K","1,21%"
"29.12.2016","56,14","56,01","56,63","55,91","49,08K","-0,14%"
"28.12.2016","56,22","56,06","56,56","55,89","109,91K","0,23%"
"27.12.2016","56,09","55,18","57,15","55,04","67,84K","1,69%"
"23.12.2016","55,16","54,84","55,25","54,26","104,09K","0,20%"
"22.12.2016","55,05","54,55","55,23","54,05","194,66K","1,08%"
"21.12.2016","54,46","55,52","55,87","54,32","277,73K","-1,61%"
"20.12.2016","55,35","55,02","55,92","54,75","257,02K","0,78%"
"19.12.2016","54,92","55,40","55,80","54,69","228,39K","-0,53%"
"16.12.2016","55,21","54,11","55,38","53,71","229,19K","2,20%"
"15.12.2016","54,02","53,76","54,50","53,15","266,15K","0,22%"
"14.12.2016","53,90","55,16","55,81","53,52","353,97K","-3,27%"
"13.12.2016","55,72","55,70","56,44","55,13","283,43K","0,05%"
"12.12.2016","55,69","55,88","57,89","55,11","372,17K","2,50%"
"09.12.2016","54,33","53,97","54,46","53,77","264,80K","0,82%"
"08.12.2016","53,89","53,15","54,05","52,81","334,18K","1,68%"
"07.12.2016","53,00","53,94","54,23","52,92","298,57K","-1,72%"
"06.12.2016","53,93","54,50","54,94","53,51","280,65K","-1,84%"
"05.12.2016","54,94","54,40","55,33","53,77","288,55K","0,88%"
"02.12.2016","54,46","53,88","54,50","52,84","312,78K","0,96%"
"01.12.2016","53,94","51,72","54,53","51,51","460,86K","6,88%"
"30.11.2016","50,47","46,54","50,49","46,51","43,12K","8,82%"
"29.11.2016","46,38","48,07","48,10","45,92","133,11K","-3,86%"
"28.11.2016","48,24","46,71","48,81","46,28","207,96K","2,12%"
"25.11.2016","47,24","48,96","49,02","46,85","181,17K","-3,59%"
"24.11.2016","49,00","49,03","49,21","48,76","71,19K","0,10%"
"23.11.2016","48,95","49,20","49,50","48,56","275,29K","-0,35%"
"22.11.2016","49,12","49,25","49,96","48,14","436,93K","0,45%"
"21.11.2016","48,90","46,92","49,15","46,92","282,70K","4,35%"
"18.11.2016","46,86","46,05","46,99","45,75","249,34K","0,80%"
"17.11.2016","46,49","46,44","47,62","45,97","280,94K","-0,30%"
"16.11.2016","46,63","46,88","47,56","46,25","335,48K","-0,68%"
"15.11.2016","46,95","44,70","47,25","44,67","354,27K","5,67%"
"14.11.2016","44,43","44,54","44,99","43,57","260,15K","-0,72%"
"11.11.2016","44,75","45,80","45,89","44,19","286,71K","-2,38%"
"10.11.2016","45,84","46,36","46,92","45,56","302,45K","-1,12%"
"09.11.2016","46,36","46,04","46,95","44,40","448,12K","0,70%"
"08.11.2016","46,04","46,30","46,69","45,60","320,98K","-0,24%"
"07.11.2016","46,15","45,70","46,38","45,38","276,17K","1,25%"
"04.11.2016","45,58","46,43","46,56","45,08","384,56K","-1,66%"
"03.11.2016","46,35","47,15","47,52","45,99","283,66K","-1,09%"
"02.11.2016","46,86","47,90","48,02","46,46","366,82K","-2,66%"
"01.11.2016","48,14","48,72","49,26","47,72","462,80K","-0,33%"
"31.10.2016","48,30","49,41","49,72","47,98","32,21K","-2,84%"
"28.10.2016","49,71","50,41","50,58","49,31","94,84K","-1,51%"
"27.10.2016","50,47","50,05","50,90","49,83","138,09K","0,98%"
"26.10.2016","49,98","50,26","50,69","49,65","304,52K","-1,59%"
"25.10.2016","50,79","51,44","51,83","50,22","237,73K","-1,30%"
"24.10.2016","51,46","51,89","52,01","50,50","277,24K","-0,62%"
"21.10.2016","51,78","51,40","51,94","51,12","249,16K","0,78%"
"20.10.2016","51,38","52,60","52,72","51,17","279,31K","-2,45%"
"19.10.2016","52,67","52,13","53,14","52,09","292,95K","1,92%"
"18.10.2016","51,68","51,72","52,15","51,25","274,17K","0,31%"
"17.10.2016","51,52","51,93","52,29","51,16","247,03K","-0,83%"
"14.10.2016","51,95","52,06","52,55","51,50","248,44K","-0,15%"
"13.10.2016","52,03","51,60","52,15","50,92","310,65K","0,42%"
"12.10.2016","51,81","52,48","52,87","51,61","254,73K","-1,14%"
"11.10.2016","52,41","53,11","53,32","52,12","373,85K","-1,37%"
"10.10.2016","53,14","51,63","53,73","51,30","334,27K","2,33%"
"07.10.2016","51,93","52,72","52,84","51,33","310,02K","-1,10%"
"06.10.2016","52,51","51,76","52,75","51,32","293,87K","1,25%"
"05.10.2016","51,86","51,22","52,09","51,22","302,09K","1,95%"
"04.10.2016","50,87","50,93","51,55","50,34","269,27K","-0,04%"
"03.10.2016","50,89","50,02","51,14","49,74","284,26K","3,73%"
"30.09.2016","49,06","49,18","49,25","48,21","26,94K","-0,37%"
"29.09.2016","49,24","48,87","49,81","47,99","114,83K","1,13%"
"28.09.2016","48,69","46,14","48,96","45,70","188,67K","5,92%"
"27.09.2016","45,97","47,06","47,28","45,63","241,18K","-2,91%"
"26.09.2016","47,35","46,05","47,66","45,74","208,15K","3,18%"
"23.09.2016","45,89","47,42","48,26","45,65","306,86K","-3,69%"
"22.09.2016","47,65","46,99","47,83","46,99","290,33K","1,75%"
"21.09.2016","46,83","46,45","47,14","46,38","249,08K","2,07%"
"20.09.2016","45,88","45,91","46,30","45,09","298,80K","-0,15%"
"19.09.2016","45,95","46,01","46,93","45,85","209,91K","0,39%"
"16.09.2016","45,77","46,31","46,41","45,48","226,32K","-1,76%"
"15.09.2016","46,59","46,06","47,00","45,67","320,72K","1,61%"
"14.09.2016","45,85","47,33","47,48","45,70","332,96K","-2,65%"
"13.09.2016","47,10","48,17","48,22","46,96","280,02K","-2,52%"
"12.09.2016","48,32","47,81","48,63","46,90","258,76K","0,65%"
"09.09.2016","48,01","49,63","49,70","47,76","262,15K","-3,96%"
"08.09.2016","49,99","48,55","50,14","48,21","327,24K","4,19%"
"07.09.2016","47,98","47,20","48,56","46,97","224,23K","1,52%"
"06.09.2016","47,26","47,43","47,99","46,29","215,06K","-0,78%"
"05.09.2016","47,63","46,70","49,40","46,40","287,95K","1,71%"
"02.09.2016","46,83","45,79","47,02","45,41","279,34K","3,04%"
"01.09.2016","45,45","46,98","47,24","45,32","290,04K","-3,38%"
"31.08.2016","47,04","48,29","48,42","46,96","20,61K","-2,75%"
"30.08.2016","48,37","49,25","49,76","48,23","124,52K","-1,81%"
"29.08.2016","49,26","49,54","49,60","48,97","65,67K","-1,32%"
"26.08.2016","49,92","49,66","50,76","49,12","209,62K","0,50%"
"25.08.2016","49,67","49,03","49,78","48,70","217,13K","1,26%"
"24.08.2016","49,05","49,57","49,87","48,68","280,92K","-1,82%"
"23.08.2016","49,96","49,04","50,21","48,48","314,18K","1,63%"
"22.08.2016","49,16","50,70","50,70","49,07","270,37K","-3,38%"
"19.08.2016","50,88","50,96","51,22","50,32","252,34K","-0,02%"
"18.08.2016","50,89","49,76","51,05","49,52","268,83K","2,09%"
"17.08.2016","49,85","48,88","49,93","48,55","377,40K","1,26%"
"16.08.2016","49,23","48,22","49,36","47,90","331,86K","1,82%"
"15.08.2016","48,35","47,14","48,54","46,84","234,40K","2,94%"
"12.08.2016","46,97","46,18","47,25","45,74","258,00K","2,02%"
"11.08.2016","46,04","43,78","46,30","43,46","335,53K","4,52%"
"10.08.2016","44,05","44,92","45,68","43,81","284,86K","-2,07%"
"09.08.2016","44,98","45,25","45,77","44,76","216,22K","-0,90%"
"08.08.2016","45,39","44,34","45,71","44,24","221,51K","2,53%"
"05.08.2016","44,27","44,18","44,49","43,51","236,87K","-0,05%"
"04.08.2016","44,29","43,36","44,34","42,51","276,42K","2,76%"
"03.08.2016","43,10","41,94","43,47","41,56","320,44K","3,11%"
"02.08.2016","41,80","42,23","43,18","41,51","262,56K","-0,81%"
"01.08.2016","42,14","43,11","43,85","41,87","234,77K","-0,75%"
"29.07.2016","42,46","42,61","42,83","41,80","21,54K","-0,56%"
"28.07.2016","42,70","43,53","43,72","42,56","110,09K","-1,77%"
"27.07.2016","43,47","44,55","44,91","43,27","194,57K","-3,12%"
"26.07.2016","44,87","44,82","44,96","44,14","240,33K","0,34%"
"25.07.2016","44,72","45,70","45,87","44,55","188,81K","-2,12%"
"22.07.2016","45,69","46,21","46,50","45,17","243,49K","-1,10%"
"21.07.2016","46,20","47,17","47,56","46,05","237,48K","-2,06%"
"20.07.2016","47,17","46,76","47,49","45,90","296,30K","1,09%"
"19.07.2016","46,66","46,93","47,49","46,53","214,36K","-0,64%"
"18.07.2016","46,96","47,92","47,95","46,50","230,50K","-1,37%"
"15.07.2016","47,61","47,03","48,25","46,65","260,43K","0,51%"
"14.07.2016","47,37","46,59","47,47","46,34","289,40K","2,40%"
"13.07.2016","46,26","48,13","48,20","46,09","299,80K","-4,56%"
"12.07.2016","48,47","46,17","48,57","46,09","321,53K","4,80%"
"11.07.2016","46,25","46,49","47,10","45,90","229,28K","-1,09%"
"08.07.2016","46,76","46,60","47,23","46,15","237,28K","0,78%"
"07.07.2016","46,40","49,12","49,59","46,15","328,10K","-4,92%"
"06.07.2016","48,80","48,06","49,31","47,17","279,12K","1,75%"
"05.07.2016","47,96","50,03","50,05","47,54","305,74K","-4,27%"
"04.07.2016","50,10","50,60","50,75","50,03","113,45K","-0,50%"
"01.07.2016","50,35","49,90","50,66","49,25","248,69K","1,35%"
"30.06.2016","49,68","50,21","50,28","49,47","25,41K","-1,84%"
"29.06.2016","50,61","48,84","50,74","48,62","112,96K","4,18%"
"28.06.2016","48,58","47,61","48,79","47,47","173,18K","3,01%"
"27.06.2016","47,16","48,43","48,90","46,69","243,26K","-2,58%"
"24.06.2016","48,41","50,69","50,74","47,54","351,74K","-4,91%"
"23.06.2016","50,91","50,14","51,18","49,89","246,95K","2,06%"
"22.06.2016","49,88","51,06","51,24","49,18","282,72K","-1,46%"
"21.06.2016","50,62","50,43","51,10","49,46","256,95K","-0,06%"
"20.06.2016","50,65","49,42","50,68","49,24","244,41K","3,01%"
"17.06.2016","49,17","47,28","49,40","47,25","222,73K","4,20%"
"16.06.2016","47,19","48,56","48,77","46,94","287,30K","-3,63%"
"15.06.2016","48,97","49,22","49,80","48,39","298,84K","-1,73%"
"14.06.2016","49,83","49,89","50,05","49,20","224,01K","-1,03%"
"13.06.2016","50,35","50,42","50,79","49,61","208,81K","-0,38%"
"10.06.2016","50,54","51,91","52,10","50,33","210,06K","-2,71%"
"09.06.2016","51,95","52,74","52,86","51,53","213,12K","-1,07%"
"08.06.2016","52,51","51,41","52,80","51,32","260,75K","2,08%"
"07.06.2016","51,44","50,46","51,54","50,28","208,82K","1,76%"
"06.06.2016","50,55","49,83","50,83","49,72","223,76K","1,83%"
"03.06.2016","49,64","49,95","50,33","49,30","227,82K","-0,80%"
"02.06.2016","50,04","49,63","50,30","48,84","270,12K","0,64%"
"01.06.2016","49,72","49,65","50,00","48,65","266,00K","0,06%"
"31.05.2016","49,69","49,70","50,05","49,23","28,69K","-0,14%"
"30.05.2016","49,76","49,43","49,83","48,92","23,09K","0,89%"
"27.05.2016","49,32","49,42","49,55","48,69","130,18K","-0,54%"
"26.05.2016","49,59","49,76","50,51","49,25","221,26K","-0,30%"
"25.05.2016","49,74","49,16","49,96","48,91","237,79K","2,32%"
"24.05.2016","48,61","48,35","49,24","47,80","211,58K","0,54%"
"23.05.2016","48,35","48,72","48,84","47,58","225,09K","-0,76%"
"20.05.2016","48,72","48,90","49,39","48,07","255,58K","-0,18%"
"19.05.2016","48,81","48,67","48,88","47,38","302,10K","-0,25%"
"18.05.2016","48,93","49,36","49,85","48,45","319,81K","-0,71%"
"17.05.2016","49,28","49,03","49,75","48,57","262,32K","0,63%"
"16.05.2016","48,97","47,80","49,47","47,77","294,38K","2,38%"
"13.05.2016","47,83","47,85","48,12","47,26","239,05K","-0,52%"
"12.05.2016","48,08","47,32","48,19","46,80","353,85K","1,01%"
"11.05.2016","47,60","45,59","47,75","44,80","381,74K","4,57%"
"10.05.2016","45,52","43,49","45,70","43,33","343,21K","4,33%"
"09.05.2016","43,63","45,75","46,48","43,43","364,58K","-3,84%"
"06.05.2016","45,37","45,16","46,12","44,19","283,65K","0,80%"
"05.05.2016","45,01","45,08","46,77","44,65","280,79K","0,87%"
"04.05.2016","44,62","45,21","46,01","44,19","293,82K","-0,78%"
"03.05.2016","44,97","45,80","46,40","44,62","276,40K","-1,88%"
"02.05.2016","45,83","47,37","47,40","45,72","168,09K","-4,78%"
"29.04.2016","48,13","47,90","48,50","47,41","29,52K","-0,02%"
"28.04.2016","48,14","47,10","48,19","46,74","113,08K","2,03%"
"27.04.2016","47,18","46,26","47,45","45,63","150,79K","3,15%"
"26.04.2016","45,74","44,69","46,49","44,36","199,24K","2,83%"
"25.04.2016","44,48","45,13","45,59","44,26","211,68K","-1,40%"
"22.04.2016","45,11","44,75","45,90","44,30","272,85K","1,30%"
"21.04.2016","44,53","45,54","46,18","44,44","312,60K","-2,77%"
"20.04.2016","45,80","43,52","45,88","42,81","297,26K","4,02%"
"19.04.2016","44,03","43,14","44,50","42,60","355,95K","2,61%"
"18.04.2016","42,91","41,80","43,43","40,10","383,37K","-0,44%"
"15.04.2016","43,10","43,80","44,05","42,28","285,17K","-1,69%"
"14.04.2016","43,84","44,01","44,62","43,29","234,37K","-0,77%"
"13.04.2016","44,18","44,44","44,94","43,76","348,59K","-1,14%"
"12.04.2016","44,69","42,70","44,81","42,56","357,35K","4,34%"
"11.04.2016","42,83","42,00","43,06","41,41","279,92K","2,12%"
"08.04.2016","41,94","39,68","42,01","39,62","340,22K","6,37%"
"07.04.2016","39,43","39,90","40,29","38,70","308,72K","-1,03%"
"06.04.2016","39,84","38,40","39,94","38,34","323,37K","5,20%"
"05.04.2016","37,87","37,50","38,44","37,27","296,45K","0,48%"
"04.04.2016","37,69","38,69","38,92","37,50","286,65K","-2,53%"
"01.04.2016","38,67","40,14","40,43","38,55","286,17K","-2,35%"
"31.03.2016","39,60","39,12","40,00","38,74","27,80K","0,87%"
"30.03.2016","39,26","39,42","40,61","39,09","103,12K","0,31%"
"29.03.2016","39,14","40,19","40,25","38,76","149,53K","-2,81%"
"28.03.2016","40,27","40,58","41,00","39,64","78,63K","-0,42%"
"24.03.2016","40,44","40,40","40,64","39,22","203,28K","-0,07%"
